codigo;pais
+93;Afeganistão
+27;África do Sul
+355;Albânia
+49;Alemanha
+376;Andorra
+244;Angola
+1-268;Antígua e Barbuda
+966;Arábia Saudita
+213;Argélia
+54;Argentina
+374;Armênia
+61;Austrália
+43;Áustria
+994;Azerbaijão
+1-242;Bahamas
+973;Bahrein
+880;Bangladesh
+1-246;Barbados
+32;Bélgica
+501;Belize
+229;Benin
+375;Bielorrússia
+591;Bolívia
+387;Bósnia e Herzegovina
+267;Botsuana
+55;Brasil
+673;Brunei
+359;Bulgária
+226;Burquina Faso
+257;Burundi
+975;Butão
+238;Cabo Verde
+855;Camboja
+237;Camarões
+1;Canadá
+974;Catar
+7;Cazaquistão
+235;Chade
+56;Chile
+86;China
+357;Chipre
+57;Colômbia
+269;Comores
+242;Congo
+850;Coreia do Norte
+82;Coreia do Sul
+225;Costa do Marfim
+506;Costa Rica
+385;Croácia
+53;Cuba
+45;Dinamarca
+253;Djibuti
+1-767;Dominica
+20;Egito
+503;El Salvador
+971;Emirados Árabes Unidos
+593;Equador
+291;Eritreia
+421;Eslováquia
+386;Eslovênia
+34;Espanha
+1;Estados Unidos
+372;Estônia
+251;Etiópia
+679;Fiji
+63;Filipinas
+358;Finlândia
+33;França
+241;Gabão
+220;Gâmbia
+233;Gana
+995;Geórgia
+1-473;Granada
+30;Grécia
+502;Guatemala
+592;Guiana
+224;Guiné
+240;Guiné Equatorial
+245;Guiné-Bissau
+509;Haiti
+31;Holanda
+504;Honduras
+36;Hungria
+967;Iêmen
+692;Ilhas Marshall
+677;Ilhas Salomão
+91;Índia
+62;Indonésia
+98;Irã
+964;Iraque
+353;Irlanda
+354;Islândia
+972;Israel
+39;Itália
+1-876;Jamaica
+81;Japão
+962;Jordânia
+686;Kiribati
+383;Kosovo
+965;Kuwait
+856;Laos
+266;Lesoto
+371;Letônia
+961;Líbano
+231;Libéria
+218;Líbia
+423;Liechtenstein
+370;Lituânia
+352;Luxemburgo
+389;Macedônia do Norte
+261;Madagáscar
+60;Malásia
+265;Malaui
+960;Maldivas
+223;Mali
+356;Malta
+212;Marrocos
+230;Maurício
+222;Mauritânia
+52;México
+691;Micronésia
+258;Moçambique
+373;Moldávia
+377;Mônaco
+976;Mongólia
+382;Montenegro
+95;Myanmar
+264;Namíbia
+674;Nauru
+977;Nepal
+505;Nicarágua
+227;Níger
+234;Nigéria
+683;Niue
+47;Noruega
+64;Nova Zelândia
+968;Omã
+680;Palau
+507;Panamá
+675;Papua-Nova Guiné
+92;Paquistão
+595;Paraguai
+51;Peru
+48;Polônia
+351;Portugal
+254;Quênia
+996;Quirguistão
+686;Quiribati
+44;Reino Unido
+236;República Centro-Africana
+243;República Democrática do Congo
+1-809;República Dominicana
+40;Romênia
+250;Ruanda
+7;Rússia
+212;Saara Ocidental
+685;Samoa
+1-758;Santa Lúcia
+1-869;São Cristóvão e Neves
+378;São Marinho
+239;São Tomé e Príncipe
+1-784;São Vicente e Granadinas
+221;Senegal
+232;Serra Leoa
+381;Sérvia
+963;Síria
+252;Somália
+94;Sri Lanka
+268;Suazilândia
+249;Sudão
+211;Sudão do Sul
+46;Suécia
+41;Suíça
+597;Suriname
+992;Tadjiquistão
+66;Tailândia
+886;Taiwan
+255;Tanzânia
+420;Tchéquia
+670;Timor-Leste
+228;Togo
+676;Tonga
+1-868;Trindade e Tobago
+216;Tunísia
+993;Turcomenistão
+90;Turquia
+688;Tuvalu
+380;Ucrânia
+256;Uganda
+598;Uruguai
+998;Uzbequistão
+678;Vanuatu
+379;Vaticano
+58;Venezuela
+84;Vietnã
+260;Zâmbia
+263;Zimbábue
