uf;uf_code;name;flag_image
12;AC;Acre;https://upload.wikimedia.org/wikipedia/commons/4/4c/Bandeira_do_Acre.svg
27;AL;Alagoas;https://upload.wikimedia.org/wikipedia/commons/8/88/Bandeira_de_Alagoas.svg
13;AM;Amazonas;https://upload.wikimedia.org/wikipedia/commons/6/6b/Bandeira_do_Amazonas.svg
16;AP;Amapá;https://upload.wikimedia.org/wikipedia/commons/0/0c/Bandeira_do_Amap%C3%A1.svg
29;BA;Bahia;https://upload.wikimedia.org/wikipedia/commons/2/28/Bandeira_da_Bahia.svg
23;CE;Ceará;https://upload.wikimedia.org/wikipedia/commons/2/2e/Bandeira_do_Cear%C3%A1.svg
53;DF;Distrito Federal;https://upload.wikimedia.org/wikipedia/commons/3/3c/Bandeira_do_Distrito_Federal_%28Brasil%29.svg
32;ES;Espírito Santo;https://upload.wikimedia.org/wikipedia/commons/4/43/Bandeira_do_Esp%C3%ADrito_Santo.svg
52;GO;Goiás;https://upload.wikimedia.org/wikipedia/commons/b/be/Flag_of_Goi%C3%A1s.svg
21;MA;Maranhão;https://upload.wikimedia.org/wikipedia/commons/4/45/Bandeira_do_Maranh%C3%A3o.svg
31;MG;Minas Gerais;https://upload.wikimedia.org/wikipedia/commons/f/f4/Bandeira_de_Minas_Gerais.svg
50;MS;Mato Grosso do Sul;https://upload.wikimedia.org/wikipedia/commons/6/64/Bandeira_de_Mato_Grosso_do_Sul.svg
51;MT;Mato Grosso;https://upload.wikimedia.org/wikipedia/commons/0/0b/Bandeira_de_Mato_Grosso.svg
15;PA;Pará;https://upload.wikimedia.org/wikipedia/commons/0/02/Bandeira_do_Par%C3%A1.svg
25;PB;Paraíba;https://upload.wikimedia.org/wikipedia/commons/b/bb/Bandeira_da_Para%C3%ADba.svg
26;PE;Pernambuco;https://upload.wikimedia.org/wikipedia/commons/5/59/Bandeira_de_Pernambuco.svg
22;PI;Piauí;https://upload.wikimedia.org/wikipedia/commons/3/33/Bandeira_do_Piau%C3%AD.svg
41;PR;Paraná;https://upload.wikimedia.org/wikipedia/commons/9/93/Bandeira_do_Paran%C3%A1.svg
33;RJ;Rio de Janeiro;https://upload.wikimedia.org/wikipedia/commons/7/73/Bandeira_do_estado_do_Rio_de_Janeiro.svg
24;RN;Rio Grande do Norte;https://upload.wikimedia.org/wikipedia/commons/3/30/Bandeira_do_Rio_Grande_do_Norte.svg
11;RO;Rondônia;https://upload.wikimedia.org/wikipedia/commons/f/fa/Bandeira_de_Rond%C3%B4nia.svg
14;RR;Roraima;https://upload.wikimedia.org/wikipedia/commons/9/98/Bandeira_de_Roraima.svg
43;RS;Rio Grande do Sul;https://upload.wikimedia.org/wikipedia/commons/6/63/Bandeira_do_Rio_Grande_do_Sul.svg
42;SC;Santa Catarina;https://upload.wikimedia.org/wikipedia/commons/1/1a/Bandeira_de_Santa_Catarina.svg
28;SE;Sergipe;https://upload.wikimedia.org/wikipedia/commons/b/be/Bandeira_de_Sergipe.svg
35;SP;São Paulo;https://upload.wikimedia.org/wikipedia/commons/2/2b/Bandeira_do_estado_de_S%C3%A3o_Paulo.svg
17;TO;Tocantins;https://upload.wikimedia.org/wikipedia/commons/f/ff/Bandeira_do_Tocantins.svg
