municipio;uf;uf_code;name
1100015;11;RO;Alta Floresta d'Oeste
1100023;11;RO;Ariquemes
1100031;11;RO;Cabixi
1100049;11;RO;Cacoal
1100056;11;RO;Cerejeiras
1100064;11;RO;Colorado do Oeste
1100072;11;RO;Corumbiara
1100080;11;RO;Costa Marques
1100098;11;RO;Espigão d'Oeste
1100106;11;RO;Guajará-Mirim
1100114;11;RO;Jaru
1100122;11;RO;Ji-Paraná
1100130;11;RO;Machadinho d'Oeste
1100148;11;RO;Nova Brasilândia d'Oeste
1100155;11;RO;Ouro Preto do Oeste
1100189;11;RO;Pimenta Bueno
1100205;11;RO;Porto Velho
1100254;11;RO;Presidente Médici
1100262;11;RO;Rio Crespo
1100288;11;RO;Rolim de Moura
1100296;11;RO;Santa Luzia d'Oeste
1100304;11;RO;Vilhena
1100320;11;RO;São Miguel do Guaporé
1100338;11;RO;Nova Mamoré
1100346;11;RO;Alvorada d'Oeste
1100379;11;RO;Alto Alegre dos Parecis
1100403;11;RO;Alto Paraíso
1100452;11;RO;Buritis
1100502;11;RO;Novo Horizonte do Oeste
1100601;11;RO;Cacaulândia
1100700;11;RO;Campo Novo de Rondônia
1100809;11;RO;Candeias do Jamari
1100908;11;RO;Castanheiras
1100924;11;RO;Chupinguaia
1100940;11;RO;Cujubim
1101005;11;RO;Governador Jorge Teixeira
1101104;11;RO;Itapuã do Oeste
1101203;11;RO;Ministro Andreazza
1101302;11;RO;Mirante da Serra
1101401;11;RO;Monte Negro
1101435;11;RO;Nova União
1101450;11;RO;Parecis
1101468;11;RO;Pimenteiras do Oeste
1101476;11;RO;Primavera de Rondônia
1101484;11;RO;São Felipe d'Oeste
1101492;11;RO;São Francisco do Guaporé
1101500;11;RO;Seringueiras
1101559;11;RO;Teixeirópolis
1101609;11;RO;Theobroma
1101708;11;RO;Urupá
1101757;11;RO;Vale do Anari
1101807;11;RO;Vale do Paraíso
1200013;12;AC;Acrelândia
1200054;12;AC;Assis Brasil
1200104;12;AC;Brasiléia
1200138;12;AC;Bujari
1200179;12;AC;Capixaba
1200203;12;AC;Cruzeiro do Sul
1200252;12;AC;Epitaciolândia
1200302;12;AC;Feijó
1200328;12;AC;Jordão
1200336;12;AC;Mâncio Lima
1200344;12;AC;Manoel Urbano
1200351;12;AC;Marechal Thaumaturgo
1200385;12;AC;Plácido de Castro
1200393;12;AC;Porto Walter
1200401;12;AC;Rio Branco
1200427;12;AC;Rodrigues Alves
1200435;12;AC;Santa Rosa do Purus
1200450;12;AC;Senador Guiomard
1200500;12;AC;Sena Madureira
1200609;12;AC;Tarauacá
1200708;12;AC;Xapuri
1200807;12;AC;Porto Acre
1300029;13;AM;Alvarães
1300060;13;AM;Amaturá
1300086;13;AM;Anamã
1300102;13;AM;Anori
1300144;13;AM;Apuí
1300201;13;AM;Atalaia do Norte
